genres,movie_id,original_title,plot,cast
['Drama'],1164,Babel,"Tragedy strikes a married couple on vacation in the Moroccan desert, touching off an interlocking story involving four different families.","['Brad Pitt', 'Cate Blanchett', 'Gael García Bernal', 'Rinko Kikuchi', 'Adriana Barraza', 'Mohamed Akhzam']"
"['Drama', 'Comedy']",239678,This Is Where I Leave You,"When their father passes away, four grown, world-weary siblings return to their childhood home and are requested -- with an admonition -- to stay there together for a week, along with their free-speaking mother and a collection of spouses, exes and might-have-beens. As the brothers and sisters re-examine their shared history and the status of each tattered relationship among those who know and love them best, they reconnect in hysterically funny and emotionally significant ways.","['Jason Bateman', 'Tina Fey', 'Adam Driver', 'Rose Byrne', 'Corey Stoll', 'Kathryn Hahn']"
"['Drama', 'Mystery']",14359,Doubt,"In 1964, a Catholic school nun questions a priest's ambiguous relationship with a troubled young student, suspecting him of abuse. He denies the charges, and much of the film's quick-fire dialogue tackles themes of religion, morality, and authority.","['Meryl Streep', 'Philip Seymour Hoffman', 'Amy Adams', 'Viola Davis', 'Alice Drummond', 'Audrie Neenan']"
"['Music', 'Adventure', 'Animation', 'Action', 'Comedy']",3989,Team America: World Police,"Team America World Police follows an international police force dedicated to maintaining global stability. Learning that dictator Kim Jong il is out to destroy the world, the team recruits Broadway star Gary Johnston to go undercover. With the help of Team America, Gary manages to uncover the plan to destroy the world. Will Team America be able to save it in time? It stars… Samuel L Jackson, Tim Robbins, Sean Penn, Michael Moore, Helen Hunt, Matt Damon, Susan Sarandon, George Clooney, Danny Glover, Ethan Hawke, Alec Baldwin… or does it?","['Trey Parker', 'Matt Stone', 'Kristen Miller', 'Masasa Moyo', 'Daran Norris', 'Maurice LaMarche']"
"['Horror', 'Thriller']",76617,Texas Chainsaw 3D,"A young woman learns that she has inherited a Texas estate from her deceased grandmother. After embarking on a road trip with friends to uncover her roots, she finds she is the sole owner of a lavish, isolated Victorian mansion. But her newfound wealth comes at a price as she stumbles upon a horror that awaits her in the mansion’s dank cellars.","['Alexandra Daddario', 'Dan Yeager', 'Bill Moseley', 'Marilyn Burns', 'Tania Raymonde', 'Trey Songz']"
"['Drama', 'Thriller']",1710,Copycat,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,"['Sigourney Weaver', 'Holly Hunter', 'Will Patton', 'William McNamara', 'Harry Connick Jr.', 'J.E. Freeman']"
['Comedy'],4258,Scary Movie 5,"Home with their newly-formed family, happy parents Dan and Jody are haunted by sinister, paranormal activities. Determined to expel the insidious force, they install security cameras and discover their family is being stalked by an evil dead demon.","['Simon Rex', 'Ashley Tisdale', 'Charlie Sheen', 'Lindsay Lohan', 'Erica Ash', 'Katt Williams']"
"['Drama', 'Action', 'Comedy', 'Western', 'Music']",20391,Paint Your Wagon,"A Michigan farmer and a prospector form a partnership in the California gold country. Their adventures include buying and sharing a wife, hijacking a stage, kidnapping six prostitutes, and turning their mining camp into a boom town. Along the way there is plenty of drinking, gambling, and singing. They even find time to do some creative gold mining.","['Lee Marvin', 'Clint Eastwood', 'Jean Seberg', 'Harve Presnell', 'Ray Walston', 'Tom Ligon']"
"['History', 'Drama']",10139,Milk,"The story of California's first openly gay elected official, Harvey Milk, who  became an outspoken agent for change, seeking equal rights and opportunities for all. His great love for the city and its people brought him backing from young and old, straight and gay, alike – at a time when prejudice and violence against gays was openly accepted as the norm.","['Sean Penn', 'Emile Hirsch', 'James Franco', 'Josh Brolin', 'Diego Luna', 'Alison Pill']"
['Action'],335778,Risen,"Follows the epic Biblical story of the Resurrection, as told through the eyes of a non-believer. Clavius, a powerful Roman Military Tribune, and his aide Lucius, are tasked with solving the mystery of what happened to Jesus in the weeks following the crucifixion, in order to disprove the rumors of a risen Messiah and prevent an uprising in Jerusalem.","['Tom Felton', 'Cliff Curtis', 'Joseph Fiennes', 'Peter Firth', 'Mark Killeen', 'Mish Boyko']"
"['Horror', 'Mystery', 'Thriller']",9645,Ghost Ship,"After discovering a passenger ship missing since 1962 floating adrift on the Bering Sea, salvagers claim the vessel as their own. Once they begin towing the ghost ship towards harbor, a series of bizarre occurrences happen and the group becomes trapped inside the ship, which they soon learn is inhabited by a demonic creature.","['Gabriel Byrne', 'Julianna Margulies', 'Desmond Harrington', 'Ron Eldard', 'Isaiah Washington', 'Karl Urban']"
['Comedy'],55465,A Very Harold & Kumar Christmas,"Six years have elapsed since Guantanamo Bay, leaving Harold and Kumar estranged from one another with very different families, friends and lives. But when Kumar arrives on Harold's doorstep during the holiday season with a mysterious package in hand, he inadvertently burns down Harold's father-in-law's beloved Christmas tree. To fix the problem, Harold and Kumar embark on a mission through New York City to find the perfect Christmas tree, once again stumbling into trouble at every single turn.","['Neil Patrick Harris', 'John Cho', 'Elias Koteas', 'Danneel Ackles', 'Kal Penn', 'Patton Oswalt']"
"['Crime', 'Drama', 'Mystery']",617,Wild Things,"When teen-socialite Kelly Van Ryan (Richards) and troubled bad girl Suzie Toller (Campbell) accuse guidance counselor Sam Lombardo (Dillon) of rape, he's suspended by the school, rejected by the town, and fighting to get his life back. One cop (Bacon) suspects conspiracy, but nothing is what it seems...","['Matt Dillon', 'Kevin Bacon', 'Denise Richards', 'Neve Campbell', 'Theresa Russell', 'Bill Murray']"
"['Horror', 'Thriller', 'Mystery']",19904,The Stepfather,"Michael Harding (Penn Badgley) returns home from military school to find his mother (Sela Ward) happily in love and living with her new boyfriend, David (Dylan Walsh). As the two men get to know each other, Michael becomes more and more suspicious of the man who is always there with a helpful hand. Is he really the man of her dreams or could David be hiding a dark side?","['Dylan Walsh', 'Sela Ward', 'Penn Badgley', 'Amber Heard', 'Sherry Stringfield', 'Paige Turco']"
"['Drama', 'Thriller']",48289,The Debt,"Rachel Singer is a former Mossad agent who tried to capture a notorious Nazi war criminal – the Surgeon of Birkenau – in a secret Israeli mission that ended with his death on the streets of East Berlin. Now, 30 years later, a man claiming to be the doctor has surfaced, and Rachel must return to Eastern Europe to uncover the truth. Overwhelmed by haunting memories of her younger self and her two fellow agents, the still-celebrated heroine must relive the trauma of those events and confront the debt she has incurred.","['Helen Mirren', 'Ciarán Hinds', 'Tom Wilkinson', 'Jessica Chastain', 'Sam Worthington', 'Marton Csokas']"
"['Comedy', 'Drama', 'Romance', 'Music']",243,High Fidelity,"When record store owner Rob Gordon gets dumped by his girlfriend, Laura, because he hasn't changed since they met, he revisits his top five breakups of all time in an attempt to figure out what went wrong. As Rob seeks out his former lovers to find out why they left, he keeps up his efforts to win Laura back.","['John Cusack', 'Iben Hjejle', 'Todd Louiso', 'Jack Black', 'Lisa Bonet', 'Catherine Zeta-Jones']"
"['Horror', 'Mystery', 'Thriller']",6933,One Missed Call,"Several people start receiving voice-mails from their future selves -- messages which include the date, time, and some of the details of their deaths.","['Shannyn Sossamon', 'Edward Burns', 'Ana Claudia Talancón', 'Ray Wise', 'Azura Skye', 'Johnny Lewis']"
"['Drama', 'Thriller']",17182,Eye for an Eye,"It's fire and brimstone time as grieving mother Karen McCann takes justice into her own hands when a kangaroo court in Los Angeles fails to convict Robert Doob, the monster who raped and murdered her 17-year-old daughter.","['Sally Field', 'Kiefer Sutherland', 'Ed Harris', ""Beverly D'Angelo"", 'Charlayne Woodard', 'Joe Mantegna']"
"['Thriller', 'Crime', 'Drama']",8848,The Bank Job,"Terry is a small-time car dealer trying to leave his shady past behind and start a family. Martine is a beautiful model from Terry's old neighbourhood who knows that Terry is no angel. When Martine proposes a foolproof plan to rob a bank, Terry recognises the danger but realises this may be the opportunity of a lifetime. As the resourceful band of thieves burrows its way into a safe-deposit vault at a Lloyds Bank, they quickly realise that, besides millions in riches, the boxes also contain secrets that implicate everyone from London's most notorious underworld gangsters to powerful government figures, and even the Royal Family. Although the heist makes headlines throughout Britain for several days, a government gag order eventually brings all reporting of the case to an immediate halt.","['Jason Statham', 'Saffron Burrows', 'Stephen Campbell Moore', 'Daniel Mays', 'James Faulkner', 'Alki David']"
"['Science Fiction', 'Drama', 'Romance']",38,Eternal Sunshine of the Spotless Mind,"Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.","['Jim Carrey', 'Kate Winslet', 'Kirsten Dunst', 'Mark Ruffalo', 'Elijah Wood', 'Tom Wilkinson']"
"['Comedy', 'Romance']",38303,You Again,"History -- make that high school -- may repeat itself when Marni learns that Joanna, the mean girl from her past, is set to be her sister-in-law. Before the wedding bells toll, Marni must show her brother that a tiger doesn't change its stripes. On Marni's side is her mother, while Joanna's backed by her wealthy aunt.","['Kristen Bell', 'Sigourney Weaver', 'Betty White', 'Kristin Chenoweth', 'Odette Annable', 'Jamie Lee Curtis']"
"['Action', 'Crime', 'Drama', 'Thriller']",1266,Street Kings,"Tom Ludlow is a disillusioned L.A. Police Officer, rarely playing by the rules and haunted by the death of his wife. When evidence implicates him in the execution of a fellow officer, he is forced to go up against the cop culture he's been a part of his entire career, ultimately leading him to question the loyalties of everyone around him.","['Keanu Reeves', 'Forest Whitaker', 'Chris Evans', 'Hugh Laurie', 'Martha Higareda', 'Cedric the Entertainer']"
"['Comedy', 'Action', 'Science Fiction']",107985,The World's End,Five friends who reunite in an attempt to top their epic pub crawl from 20 years earlier unwittingly become humankind's only hope for survival.,"['Simon Pegg', 'Nick Frost', 'Martin Freeman', 'Eddie Marsan', 'Paddy Considine', 'Rosamund Pike']"
"['Action', 'Adventure', 'Crime', 'Family', 'Mystery', 'Thriller']",14043,Nancy Drew,Intrepid teenage private eye Nancy Drew heads to Tinseltown with her father to investigate the unsolved murder of a movie star in this old-fashioned whodunit based on Carolyn Keene's popular series of books for young adults. But can the small-town girl cut through the Hollywood hype to solve the case?,"['Emma Roberts', 'Josh Flitter', 'Max Thieriot', 'Rachael Leigh Cook', 'Tate Donovan', 'Marshall Bell']"
